Codigo,Descricao,Data_Inicio,Data_Fim,Tipo_Ato_Ini,Numero_Ato_Ini,Ano_Ato_Ini
03021,"- Salmonídeos, exceto subprodutos comestíveis de peixes das subposições 030291 a 030299:",01/04/2022,31/12/9999,Res Camex,272,2021
03021100,"-- Trutas (<i>Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache</i> e <i>Oncorhynchus chrysogaster</i>)",01/04/2022,31/12/9999,Res Camex,272,2021
03021300,"-- Salmões-do-pacífico (<i>Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou</i> e <i>Oncorhynchus rhodurus</i>)",01/04/2022,31/12/9999,Res Camex,272,2021
03021400,-- Salmão-do-atlântico (<i>Salmo salar</i>) e salmão-do-danúbio (<i>Hucho hucho</i>),01/04/2022,31/12/9999,Res Camex,272,2021
03021900,-- Outros,01/04/2022,31/12/9999,Res Camex,272,2021
03022,"- Peixes chatos (<i>Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae</i> e <i>Citharidae</i>), exceto subprodutos comestíveis de peixes das subposições 030291 a 030299:",01/04/2022,31/12/9999,Res Camex,272,2021
03022100,"-- Linguados-gigantes (Alabotes*) (<i>Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis</i>)",01/04/2022,31/12/9999,Res Camex,272,2021
03022200,-- Solha (<i>Pleuronectes platessa</i>),01/04/2022,31/12/9999,Res Camex,272,2021
03022300,-- Linguados (<i>Solea</i> spp),01/04/2022,31/12/9999,Res Camex,272,2021
03022400,-- Pregado (<i>Psetta maxima</i>),01/04/2022,31/12/9999,Res Camex,272,2021
03022900,-- Outros,01/04/2022,31/12/9999,Res Camex,272,2021
03023,"- Atuns (do gênero <i>Thunnus</i>), bonito-listrado (gaiado*) (<i>Katsuwonus </i><i>pelamis</i>), exceto subprodutos comestíveis de peixes das subposições 030291 a 030299:",01/04/2022,31/12/9999,Res Camex,272,2021
03023100,-- Albacora-branca (atum) (<i>Thunnus alalunga</i>),01/04/2022,31/12/9999,Res Camex,272,2021
03023200,-- Albacora-laje (atum) (<i>Thunnus albacares</i>),01/04/2022,31/12/9999,Res Camex,272,2021
03023300,-- Bonito-listrado (Gaiado*) (<i>Katsuwonus pelamis</i>),01/04/2022,31/12/9999,Res Camex,272,2021
03023400,-- Albacora-bandolim (atum) (<i>Thunnus obesus</i>),01/04/2022,31/12/9999,Res Camex,272,2021
